419024	0.C.1188 (a)	11176/387434	1931-01-01 0:00:00	1931-01-01 0:00:00					http://hdl.handle.net/11176/397203	French			Nouvelle methode du traitement de la toxicomanie : note du Secrétaire					Société des Nations. Commission consultative du trafic de l'opium et autres drogues nuisibles		
418782	A. 20. 1926. III	11176/387434	1926-01-01 0:00:00	1926-01-01 0:00:00					http://hdl.handle.net/11176/396961	English	Report to the Council on the work of the eighth session of the Committee, Geneva, May 26th to June 8th, 1926					League of Nations. Advisory Committee on Traffic in Opium and other Dangerous Drugs				
418492	A.15.1922||C.223 (1).1922.XI	11176/387434	1922-01-01 0:00:00	1922-01-01 0:00:00					http://hdl.handle.net/11176/396671	French			Rapport, approuvé par le Conseil le 21 juillet 1922, sur les travaux de la Commission a sa deuxième session tenue à Genève du 19 au 29 avril 1922			League of Nations. Advisory Committee on Traffic in Opium		Société des Nations. Commission consultative du trafic de l'opium		
418599	A.28.1925.XI||O.C.319 (1)	11176/387434	1925-01-01 0:00:00	1925-01-01 0:00:00					http://hdl.handle.net/11176/396778	English	Report to the Council on the work of the seventh session, Geneva, August 24th to 31st, 1925					League of Nations. Advisory Committee on Traffic in Opium and other Dangerous Drugs				
421454	A.32.1924.XI	11176/387434	1924-01-01 0:00:00	1924-01-01 0:00:00					http://hdl.handle.net/11176/399633	English	Report to the Council on the work of the sixth session, August 4th to 14th, 1924					League of Nations. Advisory Committee on Traffic in Opium and other Dangerous Drugs				
421474	A.CONF.184/BP/16||A/AC.105/705	11176/387434		1999-01-01 0:00:00					http://hdl.handle.net/11176/399653	French			Activités spatiales des Nations Unies et d'autres organismes internationaux : examen des activités et des ressources que l'organisation des Nations Unies, ses institutions spécialisées et d'autres organismes internationaux compétents consacrent aux utilisations pacifiques de l'espace extra-atmosphérique					Bureau des affaires spatiales		F.99.I.24
419167	A/10020	11176/387434	1975-01-01 0:00:00	1975-01-01 0:00:00					http://hdl.handle.net/11176/397346	English	Report of the Committee on the Peaceful Uses of Outer Space, General Assembly, Official records, thirtieth session, Supplement no. 20 (A/10020)					United Nations. Committee on the Peaceful Uses of Outer Space				
421321	A/10020	11176/387434	1975-01-01 0:00:00	1975-01-01 0:00:00					http://hdl.handle.net/11176/399500	French			Rapport du Comité des utilisations pacifiques de l'espace extra-atmosphérique : Assemblée Générale, documents officiels, trentième session, supplément n° 20 a/10020					Nations Unies. Comité des utilisations pacifiques de l'espace extra-atmosphérique		
421042	A/31/17	11176/387434	1976-01-01 0:00:00	1976-01-01 0:00:00					http://hdl.handle.net/11176/399221	English	Report of the United Nations Commission on International Trade Law on the work of its ninth session, 12 april-7 may 1976 : General Assembly, official records, thirty-first session, supplement no. 17 a/31/17					United Nations Commission on International Trade Law				
420669	A/31/17	11176/387434	1976-01-01 0:00:00	1976-01-01 0:00:00					http://hdl.handle.net/11176/398848	French			Rapport de la Commission des Nations Unies pour le droit commercial international sur les travaux de sa neuvième session, 12 avril - 7 mai 1976 : Assemblée Générale, documents officiels, trente et unième session supplément n° 17 a/31/17					Commission des Nations Unies pour le droit commercial international		
421994	A/31/17	11176/387434	1976-01-01 0:00:00	1976-01-01 0:00:00					http://hdl.handle.net/11176/400173	Spanish		Informe de la Comision de las Naciones Unidas para el derecho mercantil internacional sobre la labor realizada en su noveno período de sesiones, 12 de abril a 7 de mayo de 1976 : Asamblea General, documentos oficiales, trigesimo primer periodo de sesiones, suplemento no. 17 a/31/17					Comisión de las Naciones Unidas para el Derecho Mercantil Internacional			
417957	A/31/20	11176/387434	1976-01-01 0:00:00	1976-01-01 0:00:00					http://hdl.handle.net/11176/396136	English	Report of the Committee on the Peaceful Uses of Outer Space : General Assembly, official records, thirty-first session, supplement no. 20, A/31/20					Committee on the Peaceful Uses of Outer Space				
418829	A/31/20	11176/387434	1976-01-01 0:00:00	1976-01-01 0:00:00					http://hdl.handle.net/11176/397008	French			Rapport du Comité des utilisations pacifiques de l'espace extra-atmosphérique : Assemblée générale, documents officiels, trente et unième session, supplément n° 20, A/31/20					Comité des utilisations pacifiques de l'espace extra-atmosphérique		
422041	A/31/20	11176/387434	1976-01-01 0:00:00	1976-01-01 0:00:00					http://hdl.handle.net/11176/400220	Spanish		Informe de la Comisión sobre la utilizacion del espacio ultraterrestre con fines pacificos : Asamblea General, documentos oficiales,  trigesimo primer periodo de sesiones, suplemento no. 20, A/31/20					Comisión sobre la Utilización del Espacio Ultraterrestre con Fines Pacíficos			
417964	A/32/17	11176/387434	1977-01-01 0:00:00	1977-01-01 0:00:00					http://hdl.handle.net/11176/396143	English	Report of the United Nations Commission on International Trade Law on the work of its tenth session, 23 may -17 june 1977 : General Assembly, official records, thirty-second session, supplement no. 17, a/32/17					United Nations Commission on International Trade Law				
419299	A/32/17	11176/387434	1977-01-01 0:00:00	1977-01-01 0:00:00					http://hdl.handle.net/11176/397478	French			Rapport de la Commission des Nations Unies pour le droit commercial international sur les travaux de sa dixième session, 23 mai-17 juin 1977 : Assemblée Générale, documents officiels, trente-deuxième session, supplément n° 17					Commission des Nations Unies pour le droit commercial international		
420696	A/32/17	11176/387434	1977-01-01 0:00:00	1977-01-01 0:00:00					http://hdl.handle.net/11176/398875	Spanish		Informe de la Comisión de las Naciones Unidas para el derecho mercantil internacional sobre la labor realizada en su décimo período de sesiones 23 de mayo a 17 de junio de 1977 : Asamblea General, documentos oficiales, trigesimo segundo periodo de sesiones, suplemento no. 17, a/32/17					Comisión de las Naciones Unidas para el Derecho Mercantil Internacional			
420077	A/32/20	11176/387434	1977-01-01 0:00:00	1977-01-01 0:00:00					http://hdl.handle.net/11176/398256	English	Report of the Committee on the Peaceful Uses of Outer Space : General Assembly, official records, thirty-second session, supplement no. 20, A/32/20					Committee on the Peaceful Uses of Outer Space				
421843	A/32/20	11176/387434	1977-01-01 0:00:00	1977-01-01 0:00:00					http://hdl.handle.net/11176/400022	French			Rapport du Comité des utilisations pacifiques de l'espace extra-atmosphérique : Assemblée générale, documents officiels, trente-deuxième session, supplément n° 20, A/32/20					Comité des utilisations pacifiques de l'espace extra-atmosphérique		
419757	A/32/20	11176/387434	1977-01-01 0:00:00	1977-01-01 0:00:00					http://hdl.handle.net/11176/397936	Spanish		Informe de la Comisión sobre la utilizacion del espacio ultraterrestre con fines pacificos : Asamblea General, documentos oficiales, trigesimo segundo periodo de sesiones, suplemento no. 20, A/32/20					Comisión sobre la Utilización del Espacio Ultraterrestre con Fines Pacíficos			
418087	A/33/17	11176/387434	1978-01-01 0:00:00	1978-01-01 0:00:00					http://hdl.handle.net/11176/396266	French			Rapport de la Commission des Nations Unies pour le droit commercial international sur les travaux de sa onzième session, 30 mai-16 juin 1978 : Assemblée Générale, documents officiels, trente - troisième session, supplément n° 17, a/33/17					Commission des Nations Unies pour le droit commercial international		
420512	A/33/17	11176/387434	1978-01-01 0:00:00	1978-01-01 0:00:00					http://hdl.handle.net/11176/398691	Spanish		Informe de la Comisión de las Naciones Unidas para el derecho mercantil internacional sobre la labor realizada en su 11° período de sesiones, 30 de mayo a 16 de junio de 1978 : Asamblea General, documentos oficiales, trigesimo tercer periodo de sesiones, suplemento no. 17, a/33/17					Comisión de las Naciones Unidas para el Derecho Mercantil Internacional			
421127	A/33/20	11176/387434	1978-01-01 0:00:00	1978-01-01 0:00:00					http://hdl.handle.net/11176/399306	English	Report of the Committee on the Peaceful Uses of Outer Space : General Assembly, official records, thirty-third session, supplement no. 20, A/33/20					Committee on the Peaceful Uses of Outer Space				
421714	A/33/20	11176/387434	1978-01-01 0:00:00	1978-01-01 0:00:00					http://hdl.handle.net/11176/399893	French			Rapport du Comité des utilisations pacifiques de l'espace extra-atmosphérique : Assemblée générale, documents officiels, trente-troisième session, supplément n° 20, A/33/20					Comité des utilisations pacifiques de l'espace extra-atmosphérique		
420014	A/33/20	11176/387434	1978-01-01 0:00:00	1978-01-01 0:00:00					http://hdl.handle.net/11176/398193	Spanish		Informe de la Comisión sobre la utilizacion del espacio ultraterrestre con fines pacificos : Asamblea General, documentos oficiales, trigesimo tercer periodo de sesiones, suplemento no. 20, A/33/20					Comisión sobre la Utilización del Espacio Ultraterrestre con Fines Pacíficos			
419520	A/34/17	11176/387434	1979-01-01 0:00:00	1979-01-01 0:00:00					http://hdl.handle.net/11176/397699	English	Report of the United Nations Commission on international trade law on the work of its twelfth session, 18-29 june 1979 : General Assembly, official records, thirty - fourth session, supplement no. 17, A/34/17					United Nations Commission on International Trade Law				
420698	A/34/17	11176/387434	1979-01-01 0:00:00	1979-01-01 0:00:00					http://hdl.handle.net/11176/398877	French			Rapport de la Commission des nations unies pour le droit commercial international sur les travaux de sa douzième session, 18-29 juin 1979 : Assemblée générale, documents officiels, trente-quatrième session, supplément n° 17, a/34/17					Commission des Nations Unies pour le droit commercial international		
418311	A/34/17	11176/387434	1979-01-01 0:00:00	1979-01-01 0:00:00					http://hdl.handle.net/11176/396490	Spanish		Informe de la Comisión de las Naciones Unidas para el derecho mercantil internacional sobre la labor realizada en su 12° período de sesiones, 18 a 29 de junio de 1979 : Asamblea General, documentos oficiales, trigesimo cuarto periodo de sesiones, suplemento no. 17, A/34/17					Comisión de las Naciones Unidas para el Derecho Mercantil Internacional			
418692	A/34/20	11176/387434	1979-01-01 0:00:00	1979-01-01 0:00:00					http://hdl.handle.net/11176/396871	French			Rapport du Comité des utilisations pacifiques de l'espace extra-atmosphérique : Assemblée générale, documents officiels, trente-quatrième session, supplément n° 20, A/34/20					Comité des utilisations pacifiques de l'espace extra-atmosphérique		
